metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,general_product_information/hyte_sku,metadata/part_numbers/5,metadata/part_numbers/6,metadata/part_numbers/7,metadata/part_numbers/8,metadata/series,metadata/variant,metadata/releaseYear,metadata/last_manually_spec_verified_at,connection_types/0,connection_types/1,ear_pad_material/0,features/0,platforms/0,platforms/1,platforms/2,use_cases/0,use_cases/1,driver_size,frequency_response_low,frequency_response_high,headphone_type,ear_cup_type,weight,has_microphone,microphone_type,frame_material
AKG K326BLK Wired Earbuds With Microphone Closed-Back,AKG,K326BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba OG-AUD63067 5.1 Channel Closed Headphones,Syba,OG-AUD63067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M40x Headphones,Audio-Technica,ATH-M40x,AUD ATHM40X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony DRPQ7IP/VLT Closed In-Ear With Microphone Headset,Sony,DRPQ7IP,VLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polk UltraFit 3000 Headphones,Polk,AM3100-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-PG1 Headset,Audio-Technica,ATH-PG1,ATHPG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCCAT Kulo Closed Gaming Headset,ROCCAT,ROC-14-602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anker H700 Closed-Back Headphones,Anker,A3510Z32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHE2641/27 Wired Closed-Back Headphones,Philips,SHE2641,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-EX38iP/BLK Closed Black In Ear Headphones,Sony,MDREX38IP,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Stinger - Xbox Headset,HyperX,HX-HSCSX-BK/WW,4P5K1AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final A8000 Closed-Back In-Ear Wired Headphones,Final,FI-A8DSSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia v2 Headset,SteelSeries,51125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung EHS60ANNBE Closed Earbud,Samsung,EHS60ANNBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HT21 Closed Headphones,Panasonic,RP-HT21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memorex CB25 Pink / White Closed In-Ear Headphones,Memorex,98391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A38 Closed-Back White Gaming Headset,Astro,3AH38-HBW9W-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS60 HAPTIC Closed-Back Gaming Headset,Corsair,CA-9011225-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antec BXH-100 WHI Closed In-Ear Headphones,Antec,BXH-100 WHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser RS 180 Open-Back Headphones,Sennheiser,RS 180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SRH440A Closed-Back Wired Headphones,Shure,SRH440A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HV41-K In-Ear Closed Headphones,Panasonic,RP-HV41-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Revolver 7.1 Channel Closed-Back Gaming Headset,HyperX,HX-HSCR-GM,HHSR1-AH-GM/G,4P5K5AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1MORE Triple Driver (Black/Gold) In-Ear Headphones with Microphone,1MORE,E1001-G,E1001,E1001-GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic DTX 501 p Closed Wired Headphones,Beyerdynamic,715476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken Pro Neon Closed-Back Gaming Headset,Razer,RZ04-00871000-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etymotic Research ER23-HF3-BLACK-I Closed In-Ear Headphones,Etymotic Research,ER23-HF3-BLACK-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of Marley Buffalo Soldier Closed-Back Headphones,House of Marley,EM-JH091-MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shure SRH940 ,Shure,70700013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss KPH30i Open-Back Headphones,Koss,KPH30iw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GameStop RGB Pro Closed-Back Headphones,GameStop,24VG-GSPL-RGBPROGS200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken Closed-Back Gaming Headset,Razer,8.79862E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS35 v2 7.1 Channel Gaming Headset,Corsair,CA-9011386-NA                                                    CA-9011386-EU,CA-9011386-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periodic Audio Magnesium In-Ear Closed Headphones,Periodic Audio,Mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempest GHS201 RGB Closed Gaming Headset,Tempest,TP-GHS-201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss PLUG In-Ear Wired Headphones,Koss,PLUG                                                    186818,PLUG 07,PLUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN HE1000 Stealth Open-Back Headphones,HIFIMAN,HE1000-Stealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung 395859009169 In-Ear Headphones,Samsung,3.95859E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Revolver S 7.1 Channel Closed-Back Gaming Headset,HP,HX-HSCRS-GM,NA                                                    HX-HSCRS-GM,AS                                                    HX-HSCRS-GM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-XB200 Closed Pink / Black Headphones,Sony,MDR-XB200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etymotic Research mc3 Closed-Back In-Ear Headset,Etymotic Research,ER047501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia v3 ,SteelSeries,61357,61356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD205-II Closed Headphones,Sennheiser,HD205-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair Vengeance 1300 5.1 Channel Closed Gaming Headset,Corsair,CA-9011111-WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs HS-720 Wired Closed-Back Headphones,Creative Labs,EF0410AA001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech ASTRO A50 (GEN 5) Closed-Back White/Red Headset,Logitech G,939-002229                                                    939-002231                                                    939-002230,939-002229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A10 Headset,ASTRO Gaming,939-001845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon JBLQSONBLK Closed Headphones,Harman Kardon,JBLQSONBLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS50 PRO STEREO Headset,Corsair,CA-9011215-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy PLYR 2 Closed-Back Gaming Headset in Black / White,Skullcandy,SMPLFY-205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 598 SE Headphones,Sennheiser,HD 598 SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer BlackShark V2 Gaming Headset,Razer,RZ04-03230100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2FFFM-289 In-Ear Headphones with Microphone,Skullcandy,S2FFFM-289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss CL3N Wired Headphones,Koss,CL3N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser Momentum Black Closed-Back Headphones,Sennheiser,Momentum on Ear BLK,505795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHE3590PK/10 Closed In-Ear Headphones With Microphone,PHILIPS,SHE3590PK,10,SHE3590PK/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer SE-MJ721I-W Closed Headphones,PIONEER,SE-MJ721I-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia 350 White/Black 7.1 Channel Gaming Headset,SteelSeries,51204,HS-00006,51202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final B2 In-Ear Closed Wired Headphones,final,FI-B2BSSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss CS100 USB Closed-Back Headphones,Koss,CS100 USB,CS100USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKF300WH Wired In-Ear Headphones,Audio-Technica,ATH-CKF300WH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Siberia v2 Gaming Headset,SteelSeries,612-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach Atlas Air Closed Gaming Headset,Turtle Beach,TBS-5101-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach Z11 Closed-Back Headphones,Turtle Beach,TBS-2145-011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S3FXDM-160 Closed Earbuds With Microphone,Skullcandy,S3FXDM-160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rude Gamewear RUDE-100 7.1 Channel Closed Gaming Headset,Rude Gamewear,1.8197E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI Immerse GH30 V2 Closed-Back Gaming Headset,MSI,Immerse GH30 V2                                                    S37-2101001-SV1,Immerse GH30 V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G435 ,Logitech,981-001061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G233 PRODIGY Closed-Back Gaming Headset,Logitech,981-000701,981-000701-cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs EVO Zx Closed-Back Wired Gaming Headset,Creative Labs,70GH028000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiovox 808-HPA88BKM Closed-Back Headphones,Audiovox,808-HPA88BKM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE450-W Closed In-Ear White Headphones,Panasonic,RP-HJE450-W,RPHJE450W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labtec Axis-311 Closed-Back Headphones,Labtec,925271-0409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken Pro Wired Gaming Headset Closed-Back,Razer,RZ04-00870100-R3U1                                                    RZ04-00870100-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus ROG Delta White Edition Closed Gaming Headset,ASUS,90YH02HW-B2UA00,ROG Delta White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDREX10LP/BLK Closed In-Ear Headphones,Sony,CZ-MDREX10LP,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Fidelio X2HR/00 Open-Back Headphones,Philips,X2HR,00,X2HR/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic Custom One Pro White Headphones,Beyerdynamic,709018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach STEALTH 450 7.1 Channel Headset,Turtle Beach,TBS-6160-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon HARKARAE In-Ear Headphones,Harman Kardon,HARKARAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GameMax G200 Closed Headphones,GAMEMAX,G200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2FFCM-065 Closed-Back In-Ear Headphones with Microphone,Skullcandy,S2FFCM-065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach Ear Force XP Seven Closed-Back Gaming Headset,Turtle Beach,TBS-2210-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington IVG-KMW33137 Closed-Back Headphones,Kensington,IVG-KMW33137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss QZ9922 Closed-Back Headphones,Koss,QZ9922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony DR-AS22IP Closed Earbud Headphones,Sony,DR-AS22IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GameStop TWS Wireless Closed Earbuds with Microphone,GameStop,VG22-GSPL-TWSEARBUDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anker Soundcore Life Q35 Headset,Soundcore,A3027051,Life Q35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative Labs MA200 Closed In-Ear Headphones,Creative Labs,51EF0600AA011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CHX5ISWH Closed Earbud With Microphone,Audio-Technica,ATH-CHX5ISWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer RZ04-00470100-R3U1 Gaming Headset,Razer,RZ04-00470100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooler Master MH670 7.1 Channel Closed Gaming Headset,Cooler Master,MH-670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozone Gaming OZRAGESTR Black / Red Closed Gaming Headset,Ozone Gaming,OZRAGESTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HyperX Cloud Orbit S Closed-Back Gaming Headset 7.1 Channel,HP,HX-HSCOS-GM,WW                                                    4P5M2AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HC720 Closed-Back Wired Headphones Black,Panasonic,RP-HC720-K,RPHC720K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX CloudX Closed Gaming Headset,HyperX,HHSC2-CG-SL,G                                                    4P5H8AA,CLOO3 600721CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meze Audio 99 Neo Closed Headphones,MEZE AUDIO,99-Neo,99Neo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCCAT Renga Boost Semi-Open Back Gaming Headset,ROCCAT,ROC14410,ROC-14-410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX 3.00 Black Earbud,Sennheiser,CX 3.00 Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Nova Pro X Gaming Headset,SteelSeries,61528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belkin SOUNDFORM Mini Closed-Back Headphones Pink,Belkin,AUD001btPKCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-M30x Headphones,Audio-Technica,ATH-M30x,AUD ATHM30X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCCAT Kulo Gaming Headset Virtual 7.1 7.1 Channel,ROCCAT,ROC-14-702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech PRO X 2 Wireless Gaming Headset,Logitech G,981-001262                                                    981-001263                                                    981-001264,981-001262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser MM 400-X Closed Headphones,Sennheiser,MM 400-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer HDJ-500V Closed-Back Black / Purple Headphones,Pioneer,8.84938E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss KPH30i Open-Back Headphones,Koss,KPH30ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyerdynamic MMX 150 Closed-Back Headphones,Beyerdynamic,BEYDMMX150GY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PIEH40B Closed-Back In-Ear Headphones,Pyle Audio,PIEH40B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX 3.00 Closed White Earbud,Sennheiser,CX 3.00 White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN ES100 Closed-Back Wired Earbuds,HiFiMAN,ES100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etymotic Research mc5 In-Ear Closed-Back Headphones Black / Silver,Etymotic Research,ER044501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud Revolver S 7.1 Channel Headset,HyperX,HX-HSCRS-GM/NA,HX-HSCR-BK/NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SJM2604 Closed Earbud Headphones,Philips,SJM2604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD419 Closed-Back Headphones,Sennheiser,ASEHHD419K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polk UltraFit 500 In-Ear Headphones,Polk,AM1104-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-EX58V/RED Closed In-Ear Headphones,Sony,MDR-EX58V,RED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final E1000 Closed Earbuds,Final,FI-E1DPLBU,E1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX985 In-Ear Closed Headphones,Sennheiser,CX985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser HD 559 Headphones,Sennheiser,HD 559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K350 WHT In-Ear With Microphone Headphones,AKG,K350 WHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony PS4 PLATINUM 7.1 Channel Closed-Back Gaming Headset,Sony,3001566,7.1172E+11,Sony-3001566-AMZ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken Gaming Headset,Razer,RZ12-00870200-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HS200-D Closed In-Ear Headphones,Panasonic,RP-HS200-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach Z300 Gaming Headset 7.1 Channel,Turtle Beach,TBS-6060-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Heaven II Earbuds,Final,FI-HE2BBG3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken Ultimate 7.1 Channel Gaming Headset,Razer,RZ04-03180100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2SBDY-209 Closed In-Ear Headphones,Skullcandy,S2SBDY-209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba CM-5023 Closed-Back Headphones,Connectland,CL-CM-5023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon J22BLK Closed In-Ear Headphones,Harman Kardon,J22BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken Pro Closed-Back Gaming Headset,Razer,RZ04-00870300-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss KMO10G Closed Earbuds,Koss,KMO10G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PX100 II Open-Back Headphones,Sennheiser,ASENPX100IIBK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-RF925RK ,Sony,MDR-RF925RK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-DJ1205-S Closed-Back Headphones,Panasonic,RP-DJ1205-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HV21K Closed Earbud,Panasonic,RP-HV21K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G230 Closed-Back Gaming Headset,Logitech,981-000541                                                    981-000540,981-000541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony INZONE H7 Headset,Sony,H7 Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CHX7ISWH Closed Earbud With Microphone,Audio-Technica,ATH-CHX7ISWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HS220-D Closed Earbud,Panasonic,RP-HS220-D,RPHS220D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PC330 Closed Headphones,Sennheiser,504121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Predator Galea 500 Closed-Back Wired Gaming Headset,acer,NP.HDS1A.003                                                    Galea 500,Galea 500,NP.HDS1A.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS35 Headset,Corsair,CA-9011195-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-MSR7GM Closed Headphones,Audio-Technica,ATH-MSR7GM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audeze Mobius 7.1 Channel Headset,Audeze,200-MB-1119-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica SonicFuel CLR100iS Closed-Back In-Ear Headphones with Microphone,Audio-Technica,ATH-CLR100ISBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempest GHS301 Barbarian RGB 7.1 Channel Closed Gaming Headset,Tempest,TP-GHRGB-BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDR222KD Closed Headphones,Sony,CZ-MDR222KD,BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad Catz F.R.E.Q. 4 7.1 Channel Wired Gaming Headset,Mad Catz,AF13C2INBL00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PC360 Closed-Back Gaming Headset,Sennheiser,504122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HS220-G Earbud Black / Green,Panasonic,RP-HS220-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-CKF300MGR In-Ear Closed Headphones,Audio-Technica,ATH-CKF300MGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules 4780507 Closed-Back Headphones,Hercules,4780507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken Pro Neon Closed Gaming Headset,Razer,RZ04-00871300-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2FXDM-008 In-Ear Closed With Microphone Headphones,Skullcandy,S2FXDM-008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech H110  Headset,Logitech,2.7243E+12,981-000459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics GAMECOM COMMANDER Closed Gaming Headset,Plantronics,88227-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-RE70WH Semi-open Headphones,Audio-Technica,ATH-RE70WH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries Arctis Nova 7X Wireless Gaming Headset,SteelSeries,61565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BitFenix Flo Closed Headphones,BitFenix,BFH-FLO-KWSK1-RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics Blackwire C720 Closed Headphones,Plantronics,DHC720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Beach X12 Black / Green Closed Headset,Turtle Beach,TBS-2255-01,TBS-2255-01W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony CZ-MDREX37B/BLU In-Ear Headphones,Sony,CZ-MDREX37B,BLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-MODA Crossfade M-100 Shadow Closed-Back Headphones,V-Moda,M-100-U-SHADOW,M-100-U-WSILVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermaltake DRA 007 Closed-Back Gaming Headset,Thermaltake,HT-DRA007OEWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad Catz F.R.E.Q. 3 Closed Gaming Headset,Mad Catz,MCB434090013,02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gear Head HQ4750RED Closed Headphones,Gear Head,8.7826E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-IM03 Closed In-Ear Headphones,Audio-Technica,ATH-IM03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-XB400 Closed-Back Wired Headphones - Blue,Sony,MDR-XB400,BLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HJE125-A Closed-Back Wired Earbuds,Panasonic,RP-HJE125-A,RP-HJE125E-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altec Lansing MZX736B Closed In-Ear With Microphone Headphones,Altec Lansing,MZX736B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G433 Red 7.1 Channel Open-Back Gaming Headset,Logitech,981-000652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A50 7.1 Channel Closed Gaming Headset,Astro,3AS50-PSW9N-383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN RE300a Closed Earbud,HiFiMAN,RE300a White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba CL-AUD23029 ,Syba,CL-AUD23029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-PRO700MK2 Closed Headphones,Audio-Technica,ATHPRO700MK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Opus X Wireless Gaming Headset,Razer,RZ04-03760200-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antec BXH-100 SIL Closed In-Ear Headphones,Antec,BXH-100 SIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imation 99154 In-Ear Black Closed-Back Headphones,Imation,99154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair VOID RGB ELITE 7.1 Channel Gaming Headset,Corsair,CA-9011201-NA                                                    CA-9011201-EU,CA-9011201-NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cougar Phontum Closed-Back Headphones,Cougar,3H500P53B.0001                                                    Phontum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logitech G433 (Blue) Open 7.1 Channel Gaming Headset,Logitech,981-000687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S5URDZ-074 Headphones,Skullcandy,S5URDZ-074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-770LP Closed-Back Headphones,Sony,MDR770LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ergoguys 3068A-V Closed-Back Headphones,Ergoguys,3068A-V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss KC25 Closed Headphones,Koss,KC25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose 625946-0020 Green Closed In-Ear With Microphone Headphones,Bose,625946-0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose OE2 Wired Headphones (Black),Bose,OE2 Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periodic Audio Titanium Closed-Back In-Ear Headphones,Periodic Audio,Ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
